Name,NRIC,Age,Marital Status,Password
T2109876H,T2109876H,36,Single,password
S6543210I,S6543210I,28,Single,password
T1234567J,T1234567J,29,Married,password
T2348972A,T2348972A,24,Single,password
T1293785B,T1293785B,45,Married,password
S1923757C,S1923757C,34,Single,password
T1290372D,T1290372D,23,Married,password
S1285313E,S1285313E,56,Single,password
S2359881F,S2359881F,45,Single,password
T0234981G,T0234981G,34,Married,password
T9023845H,T9023845H,25,Single,password
T2396723A,T2396723A,24,Single,password
